COD_PAIS|NOM_PAIS|DT_INI|DT_FIM
132|AFEGANISTAO|01012009|
0132|AFEGANISTAO|01012009|
00132|AFEGANISTAO|01012009|
175|ALBANIA, REPUBLICA DA|01012009|
0175|ALBANIA, REPUBLICA DA|01012009|
00175|ALBANIA, REPUBLICA DA|01012009|
230|ALEMANHA|01012009|
0230|ALEMANHA|01012009|
00230|ALEMANHA|01012009|
310|BURKINA FASO|01012009|
0310|BURKINA FASO|01012009|
00310|BURKINA FASO|01012009|
370|ANDORRA|01012009|
0370|ANDORRA|01012009|
00370|ANDORRA|01012009|
400|ANGOLA|01012009|
0400|ANGOLA|01012009|
00400|ANGOLA|01012009|
418|ANGUILLA|01012009|
0418|ANGUILLA|01012009|
00418|ANGUILLA|01012009|
434|ANTIGUA E BARBUDA|01012009|
0434|ANTIGUA E BARBUDA|01012009|
00434|ANTIGUA E BARBUDA|01012009|
477|ANTILHAS HOLANDESAS|01012009|
0477|ANTILHAS HOLANDESAS|01012009|
00477|ANTILHAS HOLANDESAS|01012009|
531|ARABIA SAUDITA|01012009|
0531|ARABIA SAUDITA|01012009|
00531|ARABIA SAUDITA|01012009|
590|ARGELIA|01012009|
0590|ARGELIA|01012009|
00590|ARGELIA|01012009|
639|ARGENTINA|01012009|
0639|ARGENTINA|01012009|
00639|ARGENTINA|01012009|
647|ARMENIA, REPUBLICA DA|01012009|
0647|ARMENIA, REPUBLICA DA|01012009|
00647|ARMENIA, REPUBLICA DA|01012009|
655|ARUBA|01012009|
0655|ARUBA|01012009|
00655|ARUBA|01012009|
698|AUSTRALIA|01012009|
0698|AUSTRALIA|01012009|
00698|AUSTRALIA|01012009|
728|AUSTRIA|01012009|
0728|AUSTRIA|01012009|
00728|AUSTRIA|01012009|
736|AZERBAIJAO, REPUBLICA DO|01012009|
0736|AZERBAIJAO, REPUBLICA DO|01012009|
00736|AZERBAIJAO, REPUBLICA DO|01012009|
779|BAHAMAS, ILHAS|01012009|
0779|BAHAMAS, ILHAS|01012009|
00779|BAHAMAS, ILHAS|01012009|
809|BAHREIN, ILHAS|01012009|
0809|BAHREIN, ILHAS|01012009|
00809|BAHREIN, ILHAS|01012009|
817|BANGLADESH|01012009|
0817|BANGLADESH|01012009|
00817|BANGLADESH|01012009|
833|BARBADOS|01012009|
0833|BARBADOS|01012009|
00833|BARBADOS|01012009|
850|BELARUS, REPUBLICA DA|01012009|
0850|BELARUS, REPUBLICA DA|01012009|
00850|BELARUS, REPUBLICA DA|01012009|
876|BELGICA|01012009|
0876|BELGICA|01012009|
00876|BELGICA|01012009|
884|BELIZE|01012009|
0884|BELIZE|01012009|
00884|BELIZE|01012009|
906|BERMUDAS|01012009|
0906|BERMUDAS|01012009|
00906|BERMUDAS|01012009|
930|MIANMAR (BIRMANIA)|01012009|
0930|MIANMAR (BIRMANIA)|01012009|
00930|MIANMAR (BIRMANIA)|01012009|
973|BOLIVIA|01012009|
0973|BOLIVIA|01012009|
00973|BOLIVIA|01012009|
981|BOSNIA-HERZEGOVINA (REPUBLICA DA)|01012009|
0981|BOSNIA-HERZEGOVINA (REPUBLICA DA)|01012009|
00981|BOSNIA-HERZEGOVINA (REPUBLICA DA)|01012009|
1015|BOTSUANA|01012009|
01015|BOTSUANA|01012009|
1058|BRASIL|01012009|
01058|BRASIL|01012009|
1082|BRUNEI|01012009|
01082|BRUNEI|01012009|
1112|BULGARIA, REPUBLICA DA|01012009|
01112|BULGARIA, REPUBLICA DA|01012009|
1155|BURUNDI|01012009|
01155|BURUNDI|01012009|
1198|BUTAO|01012009|
01198|BUTAO|01012009|
1279|CABO VERDE, REPUBLICA DE|01012009|
01279|CABO VERDE, REPUBLICA DE|01012009|
1376|CAYMAN, ILHAS|01012009|
01376|CAYMAN, ILHAS|01012009|
1414|CAMBOJA|01012009|
01414|CAMBOJA|01012009|
1457|CAMAROES|01012009|
01457|CAMAROES|01012009|
1490|CANADA|01012009|
01490|CANADA|01012009|
