activitytype_from,activitytype_to,comment,skos_uri,classification_from,classification_to
ai_0111_1,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_2,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_3,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_4,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_5,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_6,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_7,1111A0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_8,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_9,1111A0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_10,1111A0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_11,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0119_5,1111B0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch,bonsai,bea
ai_0119_5,111400,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch,bonsai,bea
ai_0111_12,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_14,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_15,1111A0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_16,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_19,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_20,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_21,1111A0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_22,111900,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_23,1111A0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_24,1111A0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_25,111200,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch,bonsai,bea
ai_0111_25,111400,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch,bonsai,bea
ai_0111_26,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_27,111400,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_28,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_29,111200,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch,bonsai,bea
ai_0111_29,111400,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch,bonsai,bea
ai_0111_30,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_31,111200,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_32,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_33,1111A0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_34,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
ai_0111_36,1111B0,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch,bonsai,bea
