# derivatived of cosmic shear data vector from Friedrich&Eifler (2018)
# evaluated at Omega_m = 0.3156 , sigma_8 = 0.831 , w_0 = -1.0
# dx/dOmega_m   dx/dsigma_8   dx/dw0
4.351540169463560901e-05 2.416536855386968057e-05 -7.692458143379286037e-07
3.509620330241902534e-05 2.014066811636975793e-05 -6.648365586629682649e-07
2.743067156036295952e-05 1.622986220681416441e-05 -5.583216354429178040e-07
2.080719092910049458e-05 1.261549605458433843e-05 -4.585537737919301337e-07
1.540570786284888507e-05 9.472555713168300703e-06 -3.724622768198340697e-07
1.124225774439685860e-05 6.916891916299804461e-06 -3.029970243987938097e-07
8.172803707401928060e-06 4.969987356241960190e-06 -2.489868028774412724e-07
5.954028939827213357e-06 3.561688249621800712e-06 -2.064659549452875078e-07
4.333901992863997902e-06 2.572824253782107397e-06 -1.706028666939155684e-07
3.111444773024918938e-06 1.876812144608340734e-06 -1.382781260525794342e-07
2.161922880535497608e-06 1.374479455226708201e-06 -1.080137374571390519e-07
1.420445776375655321e-06 9.988462067040840430e-07 -8.025103581877141800e-08
8.571849822926413831e-07 7.108535101866677079e-07 -5.601326757936982366e-08
4.545014319100865593e-07 4.890628802468380316e-07 -3.630210883272438804e-08
1.932964137975428521e-07 3.214058066247224771e-07 -2.160250129299097421e-08
7.301368326726987129e-05 4.247599060843394112e-05 -1.764951921366258335e-06
5.768213991755775873e-05 3.463763076922330531e-05 -1.474130616841700124e-06
4.417541796721273679e-05 2.725359807105468755e-05 -1.204054239775306789e-06
3.293376903054922737e-05 2.068939739091234990e-05 -9.708454508479862831e-07
2.411143184422127802e-05 1.522903327942587580e-05 -7.818100869439684880e-07
1.752757002865659773e-05 1.098521411739739879e-05 -6.352648107869034714e-07
1.276051034091377308e-05 7.874870188830866946e-06 -5.210965919425503078e-07
9.303148571157125491e-06 5.678525668032859236e-06 -4.283828998960481063e-07
6.724532930651014671e-06 4.141811461295136621e-06 -3.482700851413671768e-07
4.734647504107158886e-06 3.042340967982573179e-06 -2.746558416385517751e-07
3.172000984709910222e-06 2.226715439423336898e-06 -2.074552786975571520e-07
1.963454958677278023e-06 1.603419439391817189e-06 -1.477419843717758054e-07
1.081925908566359614e-06 1.119366054577065048e-06 -9.786381944462685135e-08
4.872460628309365494e-07 7.491575087415002448e-07 -6.001950526349033250e-08
1.354098797214018451e-07 4.747326639127622160e-07 -3.334787475965009831e-08
8.461580500790950984e-05 5.002550802718074442e-05 -2.176220791007270241e-06
6.640943814950096835e-05 4.049136859748273199e-05 -1.805096093413659550e-06
5.055733423831754197e-05 3.161637039762212314e-05 -1.467600294613074553e-06
3.752637466018833053e-05 2.383700361330763653e-05 -1.181364727385770866e-06
