flowobject_from,flowobject_to,classification_from,classification_to,comment,skos_uri
fi_34651,Ammonia_anhydrous,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34613,Ammonium_nitrate_all_grades,statcan_chemicals,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_34642,Ammonium_phosphate_all_grades,statcan_chemicals,bonsai,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
fi_34643,Ammonium_phosphate_all_grades,statcan_chemicals,bonsai,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
fi_34642,Ammonium_phosphate,statcan_chemicals,bonsai,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
fi_34643,Ammonium_phosphate,statcan_chemicals,bonsai,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
fi_34612,Ammonium_sulphate,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34613,Ammonium_nitrate,statcan_chemicals,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_3105_51,Ammonium_nitrate_phosphate_all_grades,statcan_chemicals,bonsai,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_3105_59,Ammonium_nitrate_phosphate_all_grades,statcan_chemicals,bonsai,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_2833_22,Aluminum_sulphate_alum,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2707_10,Benzene,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2801_10,Chlorine,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2901_21,Ethylene,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2912_11,Formaldehyde,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34710,Polyethylene_total,statcan_chemicals,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_34710,Polyethylene_resins_total,statcan_chemicals,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_3901_10,Polyethylene_low_and_linear_low_density,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_3901_20,Polyethylene_high_density,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34720,Polystyrene_and_acrylonitrile_butadiene_styrene_abs,statcan_chemicals,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_34720,Polystyrene_PS_resins_and_Acrylonitrile_butadiene_styrene_ABS_resins,statcan_chemicals,bonsai,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_34730,Polyvinyl_chloride,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34740,UPR_resins,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_3909_10,Urea_all_grades,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34611,Urea,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34232,Phosphoric_acid_wet_process,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2901_24,Butadiene,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2901_23,Butylene,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2901_22,Propylene_as_propylene_in_all_grades,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2902_50,Styrene_monomer,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2707_20,Toluene,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2707_30,Xylene,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2905_11,Methyl_alcohol_methanol,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34233,Nitric_acid,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2803_00,Carbon_black,statcan_chemicals,bonsai,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
